Attribute Type,Type Description,Archtechture flag,visible,Important,required,Allow Multiple,code,Code label,Code Description
7.3.2,,Applied Research ,,,,,,,
7.3.3,,Advanced Technology Development,,,,,,,
8,Building Partnerships,,,,,,,,
8.1,Communicate  ,,,,,,,,
8.1.1,,Inform Domestic and Foreign Audiences ,,,,,,,
8.1.1.1,,,Develop Objective Information ,,,,,,
8.1.1.2,,,Identify Misinformation and Disinformation ,,,,,,
8.1.1.3,,,Deliver and Adjust Information,,,,,,
8.1.2,,Persuade Partner Audiences ,,,,,,,
8.1.2.1,,,Identify Foreign Audience Attitudes ,,,,,,
8.1.2.2,,,Develop Cognitive Programs and Products ,,,,,,
8.1.2.3,,,Deliver and Adjust Persuasive Content ,,,,,,
8.1.3,,Influence Adversary and Competitor Audiences ,,,,,,,
8.1.3.1,,,Identify Adversary and Competitor Attitudes ,,,,,,
8.1.3.2,,,Develop Influential Programs and Products ,,,,,,
